date,aggregated_news,news_count
2020-05-26,terhempas pandemi covid19 harta pemilik grup djarum menguap rp17491 triliun,1
2020-05-29,bank royal dari ciparay dibeli djarum jadi bank digital bca,1
2020-06-08,komut bca lepas 800000 saham bbca prospek bca diragukan  kompasianacom [SEP] komut bca lepas 800000 saham bbca kantongi rp 23 m [SEP] saham bca naik 10 harta crazy rich duo hartono naik rp 36 t,3
2020-06-12,sudah drop dalam ada saham bank bisa cuan 118,1
2020-06-15,pandemi covid19 belum berakhir begini strategi bca,1
2020-06-18,indeks saham dan reksadana indeks apa bedanya,1
2020-06-24,ladies harga emas batangan antam mendidih lagi lo  genpico,1
2020-06-26,ladies gerak harga emas antam beda banget sama pasar dunia  genpico,1
2020-06-30,saham bca melesat 14 harta duo hartono nambah berapa [SEP] harga saham meroket harta 5 crazy rich ri ini makin melesat,2
2020-07-06,ihsg sempat menembus 5000 asing net buy saham bbca tlkm dan cpin diburu [SEP] bca pertahankan posisi indonesias most valuable brand,2
2020-07-09,gelar rups 30 juli saham bca sudah balik lagi ke rp 31000,1
2020-07-10,blue sphere singapore meraup rp 7213 miliar dari dividen daryavaria dvla,1
2020-07-13,melirik harga saham bca sebelum dan saat pandemi corona [SEP] lepas saham bbca erwan yuris ang kantungi rp 155 miliar [SEP] 5 direksi bca jual saham rp 2025 m,3
2020-07-15,inspirasi investasi saham dari direksi bca,1
2020-07-16,restrukturisasi kredit bank bca ini dampak ke kinerja dan harga saham bbca,1
2020-07-27,pasca akuisisi 2 bank apakah bca bakal berhenti beli bank,1
2020-08-03,ihsg dibuka berada di zona merah pagi ini,1
2020-08-05,investor antisipasi resesi ekonomi indonesia ihsg diramal turun,1
2020-08-11,alasan mengapa 90 trader saham di indonesia gagal [SEP] gopay hadirkan fitur tarik tunai bisa dipakai seluruh atm bca,2
2020-08-13,ihsg menguat seiring masih menariknya pasar domestik [SEP] tajir laba rp 12 t aset perusahaan duo hartono rp 1113 t,2
2020-08-18,gejolak 2008 dan 2020 7 saham ini tetap punya kapitalisasi pasar terbesar,1
2020-08-24,sinopsis desierto kisah imigran gelap meksiko tayang malam ini di bioskop trans tv,1
2020-08-31,apakah saham bbca bisa tembus rp 35000 kapan,1
2020-09-04,saham perusahaannya merosot prajogo pangestu bukan lagi orang terkaya ke3 ri,1
2020-09-07,selain mertua syahrini ini petinggi perusahaan yang sempat lepas sahamnya [SEP] suksesor bisnis marta ortega pewaris zara yang sempat dibuang,2
2020-09-08,wow 6 bulan harta orang terkaya ri ini melesat rp 128 t,1
2020-09-10,ihsg anjlok hingga sempat trading halt asing jual saham big cap,1
2020-09-14,viral tolak psbb hingga kekayaan lenyap 201 persen ada apa dengan robert hartono,1
2020-09-15,sejak akhir maret kekayaan budi hartono naik rp110 triliun berkat saham bca,1
2020-09-16,budi hartono dan bca orang paling kaya di indonesia dan emiten pemilik kapitalisasi pasar terbesar,1
2020-09-29,bbca akuisisi rabobank kinerja sahamnya rugi tahun ini [SEP] bca resmi caplok bank interim alias rabobank rp 643 m,2
2020-10-02,dirut planet properindo yang penuh perhitungan dalam berinvestasi,1
2020-10-06,investasi saham bbca masih menarik,1
2020-10-12,merger dengan bank interim bca syariah siap stock split,1
2020-10-13,nasib perusahaan milik konglomerat budi hartono bos djarum orang terkaya nomor 1,1
2020-10-14,mengenal istilah merger yang kini tengah ramai dibicarakan terhadap bank syariah,1
2020-10-16,saham top gainers dan top losers apa maksudnya,1
2020-10-19,rekomendasi mnc sekuritas cermati saham berikut di awal pekan,1
2020-10-27,daftar perusahaan terafiliasi orang terkaya di indonesia [SEP] faktor pendukung dan penghambat pertumbuhahan bca [SEP] buruan tarik dana di xl tunai sebelum 1 november ini caranya,3
2020-11-05,saham apa yang diharapkan stock split,1
2020-11-11,kekayaan budi hartono di bca capai rp 2257 triliun,1
2020-11-13,ini bocoran 10 saham pilihan morgan stanley ada bbribbca,1
2020-11-16,bbca rajin akuisisi bank kenapa,1
2020-11-18,10 saham nonbank ini bikin asing ngiler cekidot gaes,1
2020-11-20,harga saham bbca tertinggi sejak 13 februari 2020 cermati per dan pbv bbca,1
2020-11-23,bos bca jual 1000 lot saham senilai rp325 miliar [SEP] sentuh harga rp 32500 jahja setiaatmadja jual saham bca [SEP] terbukti 5 saham ini cuan dalam jangka panjang,3
2020-12-01,banyak saham murah setelah dihajar habishabisan mari cek,1
2020-12-02,perhatian bca bagi dividen interim rp 98 per saham,1
2020-12-04,bca minta maaf soal layar atm yang viral di media sosial,1
2020-12-09,berkah covid saham bri bikin cuan 100 dalam hitungan bulan,1
2020-12-10,laba 3 emiten big caps ini selalu naik dalam 10 tahun terakhir,1
2020-12-15,resmi ojk beri restu merger bank interim dengan bca syariah,1
2020-12-23,perdagangan saham sesi i senin ihsg ditutup turun di bawah 4500 [SEP] ihsg masih akan tertekan pilih sebelas saham ini [SEP] ihsg terus tertekan pilih delapan saham ini,3
2021-01-04,10 saham nilai transaksi paling jumbo di 2020 semua cuan,1
2021-01-07,komposisi kapitalisasi pasar terbesar di bei 20102020 [SEP] nilai restrukturisasi kredit tinggi bagaimana saham bank 2021,2
2021-01-12,saham bca ngamuk  rekor tertinggi bagaimana valuasinya,1
2021-01-21,komposisi kapitalisasi pasar terbesar di bei 20102020,1
2021-01-26,ihsg merosot di sesi i asing lepas saham bbca dan bbri,1
2021-01-27,daftar terbaru buku iv usai permatabank masuk ikuti bri bca bank mandiri,1
2021-02-01,inilah mengapa pinjam uang untuk main saham tidak disarankan [SEP] cihuy ihsg meroket 35 persen tembus 6000 saham bank dan ufoe baru ipo langsung terbang [SEP] inilah mengapa pinjam uang untuk main saham tidak disarankan [SEP] cihuy ihsg meroket 35 persen tembus 6000 saham bank dan ufoe baru ipo langsung terbang,4
2021-02-08,pertama kali dalam sejarah aset bca tembus rp 1076 t [SEP] bca bukukan laba bersih rp 271 triliun sepanjang tahun 2020,2
2021-02-09,melawan corona begini kinerja 3 bank raksasa ri di 2020,1
2021-02-18,kinerja jauh di atas ekspektasi target harga saham bca naik [SEP] saham bank ganesha bolak balik dipompom rumor akuisisi,2
2021-02-24,waspada ya hari ini ihsg rawan begal aksi ambil untung,1
2021-03-04,evening update aksi lepas saham bbca pemodal asing menambah sentimen negatif bagi ihsg,1
2021-03-29,pt bank central asia tbk statistik  idxbbca [SEP] bca bagi dividen rp 530 per saham [SEP] laporan keuangan pt bank central asia tbk  idxbbca [SEP] review pasar modal sepekan ihsg terperosok asing kompak jual saham bank,4
2021-03-30,bank besar bagi dividen sentimen positif atau negatif,1
2021-03-31,latah margin call menular ke ri sahamsaham bank diobral,1
2021-04-01,meski untung menipis fundamental bank bca masih solid simak rekomendasi saham bbca [SEP] ihsg drop di maret direktur bca tambah saham bbca [SEP] bank central asia bbca revisi pembagian dividen beserta jadwalnya [SEP] meski untung menipis fundamental bank bca masih solid simak rekomendasi saham bbca [SEP] ihsg drop di maret direktur bca tambah saham bbca [SEP] bank central asia bbca revisi pembagian dividen beserta jadwalnya [SEP] bp jamsostek pangkas investasi sahamsaham blue chip jeblok,7
2021-04-06,4 direksi bca ramairamai borong saham perusahaannya total rp 713 miliar  kumparancom,1
2021-04-07,saham bca harga cara beli sejarah [SEP] jadi orang terkaya ri berapa nilai saham duo hartono di bca,2
2021-04-12,duo hartono yang tak tertandingi jadi orang terkaya di indonesia berkat bca,1
2021-04-23,kelas investasi ini bedanya saham konvensional dan syariah  kumparancom,1
2021-04-27,jreeng sahamsaham bank buku iv mulai ngegas lagi,1
2021-05-03,saham blue chip emiten paling diminati di kalangan investor,1
2021-05-05,seri samsung galaxy s8 tidak akan dapat pembaruan lagi [SEP] wuidih bandar besar rebutan borong 5 saham bank ini,2
2021-05-19,anomali saham teknologi dan mimpi indonesia saingi as,1
2021-05-27,yuk kenalan lebih akrab dengan indonesia stock exchange [SEP] antm kegeser 10 saham ini paling favorit trading sebulan,2
2021-05-28,sebut sistem perdagangan bei tidak adil mantan dirut siap bentuk bursa baru [SEP] bakrie telecom terancam didepak bursa apa penyebabnya,2
2021-05-31,bank jago salip hm sampoerna  chandra asri sekaligus [SEP] nanda arsyinta menikah mahar saham dan logam mulia jadi sorotan,2
2021-06-07,anthoni salim tak lagi masuk daftar pemegang saham bca ini penjelasan dirut [SEP] terkuak tak ada anthoni salim di pemegang saham bca dijual,2
2021-06-08,anthoni salim tak ada di pemegang saham ini kata bos bca [SEP] lagi hits rekomendasi saham untuk mahar pernikahan sesuai bujet  bisnika,2
2021-06-15,efek pembobotan free float 30 emiten big cap ini terdampak [SEP] goks naik 11000 saham dcii jadi yang termahal di bursa ri,2
2021-06-16,gembok dibuka saham dcii langsung ara usai melonjak 20 persen ke level 60300,1
2021-06-30,ini dia daftar etf indonesia yang mendunia,1
2021-07-01,bank bca digital bakal ipo di bursa ini bocoran bos bca [SEP] ppkm mikro darurat berlaku bca ubah jadwal operasional kacab [SEP] bank bca digital bakal ipo di bursa ini bocoran bos bca [SEP] ppkm mikro darurat berlaku bca ubah jadwal operasional kacab,4
2021-07-07,putar otak bos bca beberkan jurus genjot kredit saat pandemi,1
2021-07-26,buyback saham kabar baik bagi investor,1
2021-07-29,bca cepat pulih dari dampak pandemi,1
2021-07-30,bca akan gelar rupslb untuk stock split saham [SEP] bank bca siap stock split saham 15 [SEP] pengumuman bca putuskan stock split dengan rasio 15,3
2021-08-02,stock split 15 jadi berapa harga saham bca [SEP] bca ungkap rencana stock split pekan lalu harga saham bbca turun pagi ini [SEP] dampak stock split saham bca menurut analis [SEP] bikin kaget ini rasio stock split bca lippo jual link ke xl,4
2021-08-04,dear investor ritel cek dulu nih rekam jejak stock split bca,1
2021-08-20,prospek stock split bbca berdasarkan sejarah dan dampaknya,1
2021-08-25,diamdiam saham bca reli nyaris 10 tinggalkan bank bumn,1
2021-08-30,10 saham paling laris transaksi sepekan emiten bank arto bbca hingga bbkp masuk,1
2021-09-06,ihsg diprediksi menguat di awal pekan berikut sahamsaham yang dicermati,1
2021-09-14,tradingnya ramai banget kenapa saham bank malah nyungsep [SEP] ihsg berpotensi kembali melemah indosurya jagokan saham bbca itmg dan asii,2
2021-09-16,apa iya saham blue chip mahal bikin ritel beli saham receh,1
2021-09-20,umkm kini makin lirik bisnis makanan tradisional  genpico,1
2021-09-23,pt bca rupslb setujui rencana stock split saham bca,1
2021-09-24,stock split 15 bbca cetak rekor sejarah pecah saham perbankan,1
2021-10-06,stock split pengertian tujuan contoh dan untung ruginya,1
2021-10-07,sah saham bbca siap diperdagangkan dengan harga baru,1
2021-10-12,diborong asing rp 28 m saham bbca naik menuju all time high,1
2021-10-13,saham bbca resmi diperdagangkan dengan harga baru [SEP] rangkuman pasar ihsg merekah saham bbca membawa berkah [SEP] alasan bos bca pecah saham jadi rp 7000an sasar investor pemula [SEP] saham bca resmi dijual dengan harga baru di level rp7000an [SEP] resmi stock split saham bbca sempat tembus all time high [SEP] beli saham bbca 1 lot kini bisa modal rp 750 ribu [SEP] resmi stock split harga saham bca per hari ini jadi rp 7320 per lembar [SEP] saham bbca melejit usai stock split sempat tembus 8250 [SEP] usai stock split saham bbca ngamuk tembus rp 8250saham [SEP] asyik mulai hari ini beli saham bca cuma modal rp 732000 [SEP] ajaib catat serbuan investor ke bbca usai stock split [SEP] siapsiap saham bank bca harga stock split bbca didagangkan mulai 13 oktober 2021 [SEP] setelah stock split ini rekomendasi saham bbca,13
2021-10-14,stock split bca sejarah harga dan cara beli saham bbca [SEP] usai diperdagangkan dengan harga baru saham bbca cocok untuk investasi jangka panjang [SEP] diborong asing rp 178 m saham bbca tembus rekor lagi [SEP] saham bbca menguat harta duo hartono bertambah rp 1525 triliun dalam sehari [SEP] market cap bca menuju rp 1000 triliun [SEP] pascaharga baru stock split ini harta duo hartono di bca [SEP] fenomena bca,7
2021-10-18,cerita bos bca terkait alasan stock split saham bbca [SEP] bca terus perkuat fundamental market cap rp 1000 triliun tinggal menunggu waktu,2
2021-10-25,harga saham bbca hari ini  pt bank central asia tbk bbca,1
2021-10-28,laba bcabribni melejit sinyal ekonomi ri mulai bangkit,1
2021-11-03,rekomendasi saham yang layak dikoleksi di penghujung 2021 [SEP] pertumbuhan bca sesuai harapan,2
2021-11-08,bca bagi dividen interim rp308 t tahun buku 2021,1
2021-11-11,asing buru saham bbri saat indeks menguat di 669134,1
2021-11-12,cara ganti kartu atm bca ke chip gampang buruan  genpico,1
2021-11-15,kapitalisasi pasar bcaastra melonjak rp 9 t emtek terdepak,1
2021-11-30,total saham umum beredar  total common shares outstanding dari pt bank central asia tbk  idxbbca,1
2021-12-01,profil pt bank central asia tbk [SEP] ihsg rontok asing kabur  obral sahamsaham big cap [SEP] profil pt bank central asia tbk,3
2021-12-06,seperti apa saham bbri hari ini,1
2021-12-07,bca kembali pangkas suku bunga deposito kini jadi 2 persen,1
2021-12-08,2 nasabah ini menikah pakai mahar saham mnc sekuritas investasi baik untuk masa depan,1
2021-12-13,gimana perkembangan saham bbca sampai hari ini,1
2021-12-15,hartono bersaudara kokoh pimpin daftar orang terkaya ri saham bbca jadi pendorong,1
2021-12-22,kisah sukses timothy ronald investor saham hingga pemilik klub basket ibl termuda di indonesia,1
2021-12-28,topang transaksi digital bca bangun 3 data center sekaligus,1
2022-01-03,syarat  ketentuan atmku awal tahun maksimalkan untungmu,1
2022-01-05,meneropong kinerja tangguh bca di 2022 [SEP] ihsg loyo tapi asing borong 5 saham bank big cap,2
2022-01-06,akra mau pecah saham begini lho nasib 4 saham stock split,1
2022-01-07,ihsg sentuh 6700 investor asing beli saham bbca rp 624 miliar,1
2022-01-17,tips analisis fundamental saham perbankan untuk idxbbca oleh madeivan7,1
2022-01-21,ihsg berbau marking the close apa kabar random closing,1
2022-01-24,menjadi pendorong ihsg harga saham bca tak pernah membuat rugi,1
2022-01-25,menyelenggarakan public expose bca buka perdagangan saham di bursa efek indonesia,1
2022-01-27,bca bbca suntik dana rp 400 m ke bisnis modal ventura,1
2022-02-09,lo kheng hong bca bbca wonderful company  santai saja bisa cuan rp 300 miliar [SEP] raja rokok ri hartono bersaudara kini kaya raya dari bca [SEP] sumber cuan bos djarum konglomerat hartono bersaudara pemilik kekayaan rp617 triliun dari bca hingga perusahaan menara,3
2022-02-10,saham perbankan akan topang ihsg tembus 7000 [SEP] raja bank di ri ada tangan dingin liem sioe liong di bca [SEP] pilih deposito atau dividen bank coba baca ini dulu,3
2022-02-17,astaga bank digital cuma euforia sesaat anak bungsu bca bbca blu jadi galau ipo,1
2022-02-23,yes saham bbca balik ke rp 8000 bbni  bmri nyusul nih [SEP] limbah kartu bca bbca cardless society itu mimpi kita,2
2022-02-25,saham perbankan diborong investor ihsg hari ini ditutup naik ke level 6888,1
2022-03-03,market cap menuju rp1000 triliun reksadana mana punya saham bbca,1
2022-03-07,mengenal keuntungan  transaksi pasar modal di bca sekuritas,1
2022-03-16,wow saham bbca rekor tertinggi market cap tembus rp 1004 t,1
2022-03-17,bca bagikan dividen rp 145saham atau 569 dari laba 2021,1
2022-03-21,dividen dari bank bca bbca kapan diterima yah yuk dicek,1
2022-03-23,ini alasan bos bca lego tapi akhirnya borong lagi sahamnya di bca bbca,1
2022-03-24,bos bca jahja setiaatmadja raup bonus saham senilai rp 51 m dividen tunai rp 49 m,1
2022-03-25,presdir bca borong saham bbca sampai rp 51 miliar ini alasannya [SEP] turun gunung komisarisdireksi bca borong saham bbca rp685 miliar [SEP] intip nih besarnya penerimaan dividen bos bca,3
2022-04-04,bukan rokok ini yang bikin hartono bersaudara jadi sultan [SEP] baru ipo dcii kalahkan bbca dan ggrm termahal di bei [SEP] 4 rekomendasi saham untuk investasi jangka panjang  kumparancom [SEP] bukan lagi pemegang saham bca anthony salim borong saham dci,4
2022-04-05,benarkah hartono bersaudara bisa jadi crazy rich sungguhan karena bisnis rokok bukan ternyata ini lho penyebabnya [SEP] bukan cuma indomie ini gurita bisnis sultan anthoni salim,2
2022-04-06,free float dari pt bank central asia tbk  idxbbca,1
2022-04-08,intip sahamsaham koleksi orangorang terkaya ri,1
2022-04-26,kinerja moncer  diborong asing saham bri cetak sejarah ath,1
2022-05-12,saham bank ambruk 3 hari beruntun investor sebaiknya tak beli jangka pendek  kumparancom [SEP] bak petir di siang bolong ihsg anjlok 3 persen ke 6600 saham bca dilego asing rp617 miliar [SEP] unilever unvr masuk 10 besar lagi geser emtek emtk,3
2022-05-13,lagi duet pengurus teras borong 200 ribu saham bank bca bbca rp7725 per lembar [SEP] rebalancing indeks msci ini daftar saham yang masuk dan keluar,2
2022-05-16,ikut berburu frengky bungkus 100 ribu saham bank bca bbca rp7400 per lembar [SEP] gaji direksi bbri bmri bbca hingga bbni,2
2022-05-17,pertumbuhan saham bank swasta  saham bank bumn di indonesia,1
2022-05-19,simak menu saham hari ini beli bbcagoto dan jual aaliarto [SEP] transaksi layanan integrasi goto bertumbuh selama ramadan 2022 ini gambarannya,2
2022-06-02,sahamsaham big cap penekan ihsg emtkbbca masuk daftar,1
2022-06-06,analisis sektor perbankan saham bbca bmri bbri bbni dan saham bank lainnya,1
2022-06-13,ihsg hari ini 13 juni 2022 ditutup koreksi 128,1
2022-06-16,cara beli saham bank bri bbri  7 keuntungannya [SEP] pemilik mobil listrik listrik merapat bca bbca punya spklu di bsd,2
2022-06-21,duo reksadana schroder dana prestasi juara cuan kepoin yuk isi portofolionya,1
2022-06-27,wah emiten konglomerat ini bagi dividen lebih besar dari bca [SEP] market update perdagangan saham 4 agustus 2017 [SEP] investment outlook 2529 okt siapsiap koreksi sehat ihsg [SEP] penutupan ihsg hari ini 27 september 2019 melemah di 6196889,4
2022-07-01,sampah operasional bank bca bertonton jadi apaan [SEP] gencar salurkan kredit hijau bca incar sektor ini [SEP] sampah operasional bank bca bertonton jadi apaan [SEP] gencar salurkan kredit hijau bca incar sektor ini,4
2022-07-12,cahaya bintang medan gugat bca rp 5483 miliar begini duduk persoalannya,1
2022-07-26,daftar saham lq45 dan idx30 berlaku mulai agustus 2022,1
2022-07-28,bos bca bbca tidak semua nasabah siap pakai layanan digital canggih,1
2022-07-29,lonjakan laba bersih big 4 bank semua naik double digit,1
2022-08-01,viral gangguan mbanking bca manajemen minta maaf jaga selalu kerahasiaan data anda [SEP] netizen protes mbanking bca error manajemen bca bbca minta maaf [SEP] bca buka suara soal mobile banking error siang ini [SEP] netizen protes mbanking bca error manajemen bca bbca minta maaf,4
2022-08-03,daftar saham bank indonesia di bei tahun 2022 mana yang layak dipilih,1
2022-08-04,portofolio dwimuria investama andalan towr bca hingga surat utang korporasi,1
2022-08-05,entitas milik hartono bersaudara dwimuria investama asetnya tembus rp 1404 triliun,1
2022-08-08,simak sejarah dan profil bbca harga dan perjalanan stock split,1
2022-08-09,ihsg hari ini 9 agustus 2022 ditutup menghijau di 16031 poin,1
2022-08-16,proyeksi bbca  target harga untuk 2027,1
2022-08-17,koreksi vs bear market untuk idxbbca oleh wayaneko,1
2022-08-19,begini cara dapat saham sultan dengan modal cekak,1
2022-09-08,5 saham terbesar di indonesia berdasarkan kapitalisasi pasar,1
2022-09-15,lo kheng hong yang pegang saham bca bbca dari ipo tinggal tidur saja jadi orang kaya [SEP] sejarah baru bca harga sahamnya tertinggi sepanjang masa [SEP] keren saham bank bca bbca tembus all time high,3
2022-09-16,sah duo hartono pemilik grup djarum dan bbca kini resmi mendekap 5 persen saham towr [SEP] harga saham bca tembus rp 8700 harta duo hartono to the moon [SEP] saham bca pecah rekor harta hartono makin unlimited [SEP] renovasi rumah bos bca jahja setiaatmadja jual saham bbca saat mencetak rekor ath,4
2022-09-19,jahja lego 1 juta saham bank bca bbca rp87258750 per lembar simak alasannya [SEP] bos bca jual 1 juta lembar saham bbca untuk renovasi rumah dan investasi [SEP] bos bca jual saham bbca senilai rp 436 miliar buat renovasi rumah [SEP] bos bca jahja setiaatmadja jual 1juta lembar saham sebagian buat renovasi rumah  kumparancom,4
2022-09-20,bos bca bbca ramairamai jual saham nilainya tembus rp1664 miliar,1
2022-09-22,bni sekuritas ihsg di zona merah cermati saham bbca ptba mdka dan jpfa,1
2022-10-10,profil anthoni salim pemilik indomie yang mau borong saham bumi,1
2022-10-18,satu kongsi grup djarum blibli beli akan sulit tandingi bbca dan towr [SEP] smdr suntik sslog rp535 miliar,2
2022-10-20,rekomendasi saham dari kiwoom sekuritas hari ini 2010 asii icbp inco dan smgr,1
2022-10-21,artha sekuritas ihsg diprediksi menguat enam saham layak koleksi jelang akhir pekan,1
2022-10-24,harga saham bank mandiri bmri all time high kapitalisasi pasar lewati tlkm,1
2022-10-25,saham pilihan untuk trading 25 oktober dan target harganya,1
2022-10-26,kisah jahja setiaatmadja tukang rental kaset yang jadi bos bca,1
2022-11-01,mau investasi saham ini emiten yang hobi bagibagi dividen [SEP] mau investasi saham ini emiten yang hobi bagibagi dividen,2
2022-11-07,kredit bbca pada segmen esg berhasil membukukan rp1727 triliun [SEP] 12 saham termahal di indonesia berdasarkan sektor,2
2022-11-10,temukan saham dengan tren strong bullish pakai 2 fitur ini di stockbit,1
2022-11-17,apakah bca stock split di 2020 dengan harga saham yang tembus rp31000,1
2022-11-18,sempat berguguran deretan saham ini berhasil rebound usai market crash,1
2022-11-23,bbca akan tebar dividen rp35 per lembar saham,1
2022-11-30,daftar saham blue chip 2022 lebih stabil dan menjanjikan cuan,1
2022-12-01,bca bbca dan manulife aset manajemen tawarkan reksa dana obligasi kelas a [SEP] saham bbca tembus rp9400 hari ini menembus rekor tertinggi sepanjang sejarah [SEP] bca bbca dan manulife aset manajemen tawarkan reksa dana obligasi kelas a [SEP] saham bbca tembus rp9400 hari ini menembus rekor tertinggi sepanjang sejarah,4
2022-12-05,jangan salah paham ini bedanya nilai nominal dan harga saham [SEP] terus tergerus simak skenario jika saham goto ambles ke level gocap,2
2022-12-08,mengukur risiko dan cuan di waran terstruktur saat pasar saham tersungkur,1
2022-12-12,segini harga 1 lot saham bca apakah kamu berminat [SEP] jelang libur nataru bca bbca siapkan uang tunai rp376 triliun,2
2022-12-19,rekomendasi saham untuk mahasiswa cek daftarnya,1
2022-12-23,ceo goto ungkap tiga strategi prioritas menuju profitabilitas,1
2022-12-26,pnbn memimpin deretan saham bank paling cuan 2022 intip rekomendasi saham perbankan,1
2023-01-02,ihsg tahun 2022 naik 409 berikut daftar top 10 market cap bei,1
2023-01-06,gokil dari bca harta duo hartono naik rp 672 t setahun,1
2023-01-11,10 saham terbesar di bei 5 punya orang terkaya ri,1
2023-01-12,konglomerat hermanto tanoko bahas di podcast pemilik bca bbca dan bayan byan kaya mana [SEP] ihsg masih tertekan pilih 8 saham ini,2
2023-01-16,prediksi ihsg dan rekomendasi saham besok senin 16 januari 2023,1
2023-01-27,daftar saham lq45 terbaru periode februarijuli 2023 [SEP] saham bank terbang batu bara tumbang ini alasannya,2
2023-01-30,kans saham bca bbca menuju all time high baru [SEP] dapat julukan bank cari aman bbca gak produktif,2
2023-01-31,investment outlook laporan keuangan bigbank akan mendorong ihsg 7000 [SEP] tabungan orang kaya di atas rp 5 miliar meroket 1387 persen,2
2023-02-01,pelajari keuntungan hingga simulasi stock split [SEP] pelajari keuntungan hingga simulasi stock split [SEP] inilah rekomendasi saham perbankan dari indo premier,3
2023-02-06,saham bank swasta menjanjikan hasil maksimal [SEP] saham bca prospeknya setelah mencetak laba tertinggi sepanjang masa,2
2023-02-09,kalau pegang bca sejak ipo sekarang cuan 40 kali kok bisa,1
2023-02-15,ihsg tertekan terseret wall street mayoritas sektor saham loyo,1
2023-02-21,66 tahun bca dibesarkan grup salim dinikmati grup djarum,1
2023-02-23,laba bank the big 4 cetak rekor mirae asset rekomendasi beli saham bbca bmri bbri dan bbni,1
2023-02-27,bca sekuritas ungkap sektorsektor yang menjanjikan untuk investasi saham di 2023 [SEP] ini 9 saham yang konsisten naik secara tahunan sejak 2018 [SEP] buka rekening saham minimal berapa ini jawabannya [SEP] mbanking bca error ini penjelasan resmi bca,4
2023-03-06,bca masih gas pol di 2023 broker ini kasih target harga tinggi [SEP] bca bbca ungkap aksi terbaru entitas lain milik duo hartono disebutsebut [SEP] bank central asia bbca eksekusi transaksi afiliasi rp1633 miliar intip detailnya,3
2023-03-08,kekayaan duo hartono naik rp38 t hanya dalam semalam,1
2023-03-16,bos bca ungkap apa kesalahan silicon valley bank hingga jadi bangkrut,1
2023-03-17,beli emas 10 tahun lalu bikin lebih kaya ketimbang saham [SEP] sampai kapan saham big bank menguasai idx,2
2023-03-21,incar dividen rudy susanto serok saham bca bbca rp8375 per lembar,1
2023-03-27,jelang cum dividen komisaris dan direktur bank bca kompak borong jutaan saham bbca [SEP] siapsiap empat bos bca borong saham bank milik grup djarum,2
2023-04-03,ihsg sepekan asing borong saham bbca saham sage dan sico paling untung  sinar harapan [SEP] aflatoksin melampaui batas buah pala ri ditolak uni eropa  sinar harapan,2
2023-04-04,persiapan lebaran bank bca sediakan uang tunai hingga rp 69 t [SEP] bank mandiri bmri pecah saham harganya bakal melesat,2
2023-04-11,bca multifinance raih peringkat idaa dari pefindo,1
2023-04-12,saham nisp mulai jadi pilihan para dividen hunter,1
2023-04-13,harta orangorang kaya di indonesia naik dari mana datangnya,1
2023-04-24,melihat kinerja saham emiten orang terkaya indonesia ada bos harita hingga bayan resources,1
2023-04-26,harga 1 lot saham bca pergerakan tahun ke tahun,1
